Remettre,Choquer,Don,Entrée,Ardeur,Réfléchir,Défendre,Simple,Couper,Demeurer,Saisir,Bête,Glace,Causer,Trancher
Gel-Miroir,Glace,,,,,,,,,,,,,
Rester-Habiter,Demeurer,,,,,,,,,,,,,
Trancher-Interrompre,Couper,,,,,,,,,,,,,
Couper-Décider,Trancher,,,,,,,,,,,,,
Talent-Cadeau,Don,,,,,,,,,,,,,
Refléter-penser,Réfléchir,,,,,,,,,,,,,
Prendre-comprendre,Saisir,,,,,,,,,,,,,
Protéger-interdire,Défendre,,,,,,,,,,,,,
Incendie-Enthousiasme,Ardeur,,,,,,,,,,,,,
Replacer-Donner,Remettre,,,,,,,,,,,,,
Animal-Inintelligent,Bête,,,,,,,,,,,,,
Plat-Vestibule,Entrée,,,,,,,,,,,,,
